AEBODSYS,AETERM,col1,param,value,col2,AETERM_ORD,AEBODSYS_ORD
Any Body System,Any Body System,Placebo,distinct_n,69,n_pct,1,1
Any Body System,Any Body System,Placebo,distinct_pct,1,n_pct,1,1
Any Body System,Any Body System,Placebo,n,301,n_aes,1,1
Any Body System,Any Body System,Xanomeline High Dose,distinct_n,70,n_pct,1,1
Any Body System,Any Body System,Xanomeline High Dose,distinct_pct,1,n_pct,1,1
Any Body System,Any Body System,Xanomeline High Dose,n,436,n_aes,1,1
Any Body System,Any Body System,Xanomeline Low Dose,distinct_n,86,n_pct,1,1
Any Body System,Any Body System,Xanomeline Low Dose,distinct_pct,1,n_pct,1,1
Any Body System,Any Body System,Xanomeline Low Dose,n,454,n_aes,1,1
CARDIAC DISORDERS,CARDIAC DISORDERS,Placebo,distinct_n,13,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Placebo,distinct_pct,0.18840579710144928,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Placebo,n,27,n_aes,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,15,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.21428571428571427,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline High Dose,n,30,n_aes,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,16,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.18604651162790695,n_pct,2,10
CARDIAC DISORDERS,CARDIAC DISORDERS,Xanomeline Low Dose,n,34,n_aes,2,10
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Placebo,distinct_n,1,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Placebo,distinct_pct,0.0144927536231884,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Placebo,n,1,n_aes,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,2,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline High Dose,n,3,n_aes,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_n,2,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,2,1
ATRIAL FIBRILLATION,CARDIAC DISORDERS,Xanomeline Low Dose,n,3,n_aes,2,1
ATRIAL FLUTTER,CARDIAC DISORDERS,Placebo,distinct_n,0,n_pct,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Placebo,distinct_pct,0,n_pct,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Placebo,n,0,n_aes,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline High Dose,distinct_n,1,n_pct,2,2
ATRIAL FLUTTER,CARDIAC DISORDERS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,2,2
